Group,d__Archaea;p__Euryarchaeota,d__Bacteria;__,d__Bacteria;p__Acidobacteriota,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Bdellovibrionota,d__Bacteria;p__Campylobacterota,d__Bacteria;p__Chloroflexi,d__Bacteria;p__Cyanobacteria,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Firmicutes,d__Bacteria;p__Fusobacteriota,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Planctomycetota,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Spirochaetota,d__Bacteria;p__Synergistota,d__Bacteria;p__Verrucomicrobiota,Unassigned;__
Control,0,2,0,5011,30106,0,0,0,1,165,48980,26,2,0,696,0,0,1,0
Control,0,0,0,6486,17888,0,0,0,0,200,52775,0,3,0,151,0,0,543,0
Control,0,0,0,9395,17099,0,7,0,0,65,34516,114,3,0,816,0,0,0,0
Control,0,2,0,8369,27191,0,0,0,0,39,42504,113,18,0,404,0,5,41,0
Control,0,0,0,13845,22040,0,0,0,2,288,39188,163,0,0,216,0,0,0,0
Control,0,0,0,7465,7569,0,0,0,0,338,21994,0,3,0,171,0,0,0,0
Control,0,0,0,13949,22837,0,0,0,0,419,35497,1114,5,0,1914,0,0,0,0
Control,0,0,0,25289,19043,0,0,0,0,84,27978,0,0,0,570,0,0,0,0
Control,0,3,0,9284,16163,0,0,0,10,364,52873,0,5,0,106,0,0,0,0
Control,0,19,0,14728,20890,0,0,0,0,190,37707,1452,28,0,646,0,0,0,0
 CMZ,0,4,0,14457,26980,0,0,0,0,627,45344,3,8,0,28,0,0,0,0
 CMZ,0,5,0,2055,31989,0,0,0,0,571,54588,3905,1,0,3432,0,0,0,0
 CMZ,0,0,0,5675,7897,0,281,0,0,0,30013,0,0,0,13406,0,0,0,0
 CMZ,0,3,0,2358,27415,0,18,0,0,319,60323,79,38,0,4237,0,46,801,0
 CMZ,0,0,0,20960,30949,0,0,0,0,0,16206,0,0,0,16815,0,0,0,0
 CMZ,0,0,0,2515,143,0,0,0,0,0,105951,0,28,0,19608,0,0,0,0
 CMZ,0,0,0,4886,15431,0,0,0,0,128,48281,462,1,0,1192,0,0,0,0
 CMZ,116,5,0,7457,34179,0,1,0,0,346,42769,683,0,0,11111,0,9,16,0
