Group,d__Archaea;p__Euryarchaeota,d__Bacteria;__,d__Bacteria;p__Acidobacteriota,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Bdellovibrionota,d__Bacteria;p__Campylobacterota,d__Bacteria;p__Chloroflexi,d__Bacteria;p__Cyanobacteria,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Firmicutes,d__Bacteria;p__Fusobacteriota,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Planctomycetota,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Spirochaetota,d__Bacteria;p__Synergistota,d__Bacteria;p__Verrucomicrobiota,Unassigned;__
Control,0,2.35321802565008E-05,0,0.0589598776326627,0.354229909401106,0,0,0,1.17660901282504E-05,0.00194140487116131,0.576303094481704,0.00030591834333451,2.35321802565008E-05,0,0.00818919872926227,0,0,1.17660901282504E-05,0
Control,0,0,0,0.0831048356097686,0.229198165184635,0,0,0,0,0.00256259129231479,0.676203777259565,0,3.84388693847218E-05,0,0.00193475642569767,0,0,0.00695743535863465,0
Control,0,0,0,0.151495605901798,0.275723615254374,0,0.000112875917116827,0,0,0.00104813351608482,0.556575022172055,0.0018382649359026,4.83753930500685E-05,0,0.0131581069096186,0,0,0,0
Control,0,2.54174821442188E-05,0,0.106359454032484,0.345563378491727,0,0,0,0,0.000495640901812267,0.540172330528938,0.00143608774114836,0.000228757339297969,0,0.0051343313931322,0,6.3543705360547E-05,0.000521058383956485,0
Control,0,0,0,0.182791581949249,0.290987827097251,0,0,0,2.64054289561934E-05,0.00380238176969185,0.517387974967653,0.00215204245992976,0,0,0.00285178632726889,0,0,0,0
Control,0,0,0,0.198854555141183,0.201624933404369,0,0,0,0,0.00900372935535429,0.585881726158764,0,7.9914757591902E-05,0,0.00455514118273841,0,0,0,0
Control,0,0,0,0.18418168614247,0.301538258401004,0,0,0,0,0.00553244866970357,0.468700072621641,0.0147091833366343,6.60196738628111E-05,0,0.0252723311546841,0,0,0,0
Control,0,0,0,0.3465955813826,0.260991721945069,0,0,0,0,0.00115125267255085,0.383449372293186,0,0,0,0.00781207170659503,0,0,0,0
Control,0,3.80672012993605E-05,0,0.117805298954421,0.205093391533854,0,0,0,0.000126890670997868,0.0046188204243224,0.670909044767029,0,6.34453354989341E-05,0,0.0013450411125774,0,0,0,0
Control,0,0.000251123446999736,0,0.194660322495374,0.276103621464446,0,0,0,0,0.00251123446999736,0.498374306106265,0.0191911181601903,0.000370076658736453,0,0.00853819719799101,0,0,0,0
CMZ,0,4.57399000583184E-05,0,0.165315433785777,0.308515625893357,0,0,0,0,0.00716972933414141,0.518507507061097,3.43049250437388E-05,9.14798001166368E-05,0,0.000320179300408229,0,0,0,0
CMZ,0,5.17887846208025E-05,0,0.0212851904791498,0.33133428624697,0,0,0,0,0.00591427920369565,0.565409234976074,0.0404470407888468,1.03577569241605E-05,0,0.0355478217637189,0,0,0,0
CMZ,0,0,0,0.0990885598547283,0.13788587791591,0,0.00490641150998743,0,0,0,0.524043162452857,0,0,0,0.234075988266518,0,0,0,0
CMZ,0,3.13686125662662E-05,0,0.0246557294770852,0.286656837834729,0,0.000188211675397597,0,0,0.00333552913621297,0.630749605278292,0.000826040130911677,0.000397335759172705,0,0.0443029371477566,0,0.000480985392682748,0.00837541955519307,0
CMZ,0,0,0,0.246791475332627,0.364405981396444,0,0,0,0,0,0.190815966089721,0,0,0,0.197986577181208,0,0,0,0
CMZ,0,0,0,0.019610901009786,0.00111505321844906,0,0,0,0,0,0.826160863971305,0,0.000218332098717299,0,0.152894849701743,0,0,0,0
CMZ,0,0,0,0.0694221451812279,0.219249513362981,0,0,0,0,0.00181867265313082,0.685994799732883,0.00656427160739404,1.42083801025845E-05,0,0.0169363890822807,0,0,0,0
CMZ,0.00119968559963596,5.17105861912051E-05,0,0.0771211682455632,0.35348322508584,0,1.0342117238241E-05,0,0,0.00357837256443139,0.44232201216233,0.00706366607371861,0,0,0.114911264634096,0,9.30790551441691E-05,0.000165473875811856,0
CMZ,0,0,0,0.0793968302815818,0.222374870859253,0,0,0,4.39628074648847E-05,0.00234101949750511,0.487932209350889,0.00018684193172576,9.89163167959906E-05,0,0.117809333304025,0,0.000417646670916405,0.0893983689798431,0
CMZ,0,4.54938355852782E-05,0,0.00607797643419317,0.0607797643419317,0,0,0,0,0,0.581474910149675,0,0,0,0.351621855238615,0,0,0,0
CMZ,0,9.65381422199911E-05,0,0.258722221149576,0.200722105303806,0,0.021508698086614,0.000115845770663989,0,0.000135153399107988,0.390265093738536,0.0776745892302049,0.00710520726739135,0,0.0294248257486533,0.0139401077365667,0.000289614426659973,0,0
CMZ,0,3.5018297060214E-05,0,0.171572146446518,0.201792936809483,0,0.0102078335930524,1.7509148530107E-05,0,0.000210109782361284,0.383993136413776,0.142699560520372,0.0370318491411763,0,0.0486929420622275,0.00346681140896118,0.000280146376481712,0,0
CMZ,0,0,0,0.36072769580623,0.148994306062369,0,0.00442470075977929,0,0,3.52565797591976E-05,0.473531122745782,0.0108766548557124,0.000105769739277593,0,0.000634618435665556,0,0.000669875015424754,0,0
CMZ,0,0,0,0.183867119048507,0.0771783304127363,0,0.000876179113381306,0.00024234741433951,0.164870810186048,0,0.531262816449797,0.0193877931471608,0,0,0.019126803624026,0.000782968569404571,0.00236754781700906,3.72842175906939E-05,0
CMZ,0,0,0,0.0762821513819796,0.252414839270975,0,0.00399312914091954,0,0,0,0.478193945613135,0.0521002966961876,0.00556584201485712,0,0.129765543087871,0.00166194481004752,2.23079840274834E-05,0,0
CMZ,0,2.18045440669836E-05,0,0.171438227726658,0.161887837425319,0,0.00638873141162618,0.000337970433038245,0.000109022720334918,0.000446993153373163,0.428971697701801,0.0105315947843531,0.00336880205834896,0,0.213619118224238,0.00218045440669836,0.000697745410143474,0,0
CMZ,0,0,0,0.0666416073528877,0.0354912635956882,0,0.00404990845266821,0,0.00752991960810467,9.70037952734901E-05,0.489687284014987,0.00135805313382886,0.000400140655503147,0,0.394381055158783,0.000218258539365353,0.000133380218501049,0,1.21254744091863E-05
CMZ,0,2.9364694827409E-05,0,0.255986727157938,0.230835866038262,0,0.0418300077816441,5.8729389654818E-05,0.000176188168964454,0.000616658591375589,0.429355885418961,0.0206874275059096,0.00123331718275118,0,0.0173985816852398,0.000411105727583726,0.00127736422499229,0,0.000102776431895932
CMZ,0,0,0,0.145391756170199,0.0166017172005196,0,0.00258213731267623,0.000158413332066027,0.00191680131799892,0,0.793333966986662,0.00316826664132053,0,0,0.034486582390774,0.000633653328264107,0.00172670531951969,0,0
CMZ,0,5.58603045503804E-05,0,0.106849590543968,0.237372778156387,0,0.00893764872806087,0,0,0,0.46397568959546,0.013652258432113,0.00203331508563385,0,0.164843758728173,0.00220089599928499,6.70323654604565E-05,1.11720609100761E-05,0
Control,0,0,0,0.180004508566276,0.281898106402164,0,0.00815299068229636,0,0,0,0.348875363190061,0.0673654944394349,0.0141644123835287,0,0.0989254583709047,0.000613665965334135,0,0,0
Control,0,0,0,0.0790164211951921,0.354212516223689,0,0.0114694430336888,0,0,0,0.393078833022967,0.058574572541053,0.042350883133006,0,0.0558377066756955,0.005304441058631,0.000155183116076971,0,0
Control,0,3.88550705867116E-05,0,0.110413158917239,0.261857272374045,0,0.006152052842896,0,0,0,0.350822432327419,0.10567284030566,0.0112420670897552,0,0.151275741484264,0.00248672451754954,3.88550705867116E-05,0,0
Control,0,0,0,0.195740833365396,0.194980954945943,0,0.00962833288446001,5.77122850217383E-05,0,0,0.38912508175907,0.0580777961602093,0.0167269439421338,0,0.13080489400177,0.00465545765842022,0.000201992997576084,0,0
Control,0,0,0,0.144422841314654,0.168726362328877,0,0.00508709316571672,0,3.99509934480371E-05,0,0.392864752570181,0.0501784477707346,0.00508709316571672,0,0.233180631758376,0.000399509934480371,1.33169978160124E-05,0,0
Control,0,0,0,0.148271853259766,0.246572309055009,0,0.00878374637854994,0,0,0,0.455130925799487,0.045893229503054,0.0322562787178683,0,0.0621505416028492,0.000941115683416065,0,0,0
Control,0,0,0,0.102758069820984,0.285758586665414,0,0.00412535826716158,0,0,0,0.343165907061974,0.065113000986703,0.0322980782784382,0,0.165502983601936,0.00116524925997275,0.000112766057416718,0,0
Control,0,0,0,0.0867824934018787,0.222547437677461,0,0.00240159105407332,0,0.000112574580659687,0,0.413298810461931,0.0520094562647754,0.0235155790711346,0,0.198443969129548,0.000863071785057601,0,0,2.50165734799305E-05
Control,0,0,0,0.082987917805803,0.209554886422335,0,0.00288511206581583,0,0,0,0.390687009436458,0.0913534829224044,0.0297456313859877,0,0.191311907071674,0.00147405288952163,0,0,0
Control,0,2.67587166519494E-05,0,0.0886650076262343,0.358299215969602,0,0.0105429343608681,0,0,0,0.375585346926761,0.0676995531294319,0.0356961280137005,0,0.0587755211260068,0.00461587862246127,9.36555082818228E-05,0,0
MP,0,1.08431644691187E-05,0,0.0456605655794587,0.235036433032616,0,0.00120359125607217,0,0,0.000173490631505899,0.532225884802221,0.00183249479528105,0.000119274809160305,0,0.174509888965996,0,0.000336138098542679,0.00889139486467731,0
